"%1 Details","%1 Detaljer"
"%1 [Trace ID: %2]","%1 [Spår-ID: %2]"
"%1 customer address updated.","%1 kundadress uppdaterad."
"%1 order has been marked as cancelled","%1 beställning har markerats som avbruten"
"%1 order invoice has not been issued yet.","%1 orderfaktura har inte utfärdats ännu."
"%1 order marked as completed.","%1 order markerad som slutförd."
"%1 order marked as partially completed.","%1 order markerad som delvis slutförd."
"%1 payment has been verified by the customer.","%1 betalning har verifierats av kunden."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 kräver att hela beställningen skickas innan den kan uppfyllas."
"%1 terms and conditions","%1 villkor och bestämmelser"
"* Required Fields","* Obligatoriska fält"
"Your invoice purchase with %1 could not be processed. The cart will be restored.","Ditt fakturaköp med %1 kunde inte behandlas. Varukorgen kommer att återställas."
"Your invoice purchase with %1 failed verification. The cart will be restored.","Ditt fakturaköp med %1 misslyckades med verifiering. Vagnen kommer att återställas."
"Your invoice purchase with %1 has been cancelled. The cart will be restored.","Ditt fakturaköp med %1 har annullerats. Vagnen kommer att återställas."
"Your invoice purchase with %1 has been declined.","Ditt fakturaköp med %1 har avvisats."
"Your invoice purchase with %1 is likely to be accepted subject to additional checks.","Ditt fakturaköp med %1 kommer sannolikt att accepteras under förutsättning av ytterligare kontroller."
"Your request to %1 failed. Reason: %2","Din begäran till %1 misslyckades. Orsak: %2"
"Your sole trader account could not be verified.","Ditt enskild näringsidkarekonto kunde inte verifieras."
"Zip/Postal Code",Postnummer
"Invoice email address","E-postadress för faktura"
"Please ensure that your invoice email address list only contains valid email addresses separated by commas.","Se till att din e-postadresslista för faktura endast innehåller giltiga e-postadresser separerade med kommatecken."
"Please enter 3 or more characters","Ange 3 eller fler tecken"
"Enable Invoice Emails","Aktivera fakturameddelanden"
"Payment Terms Type","Betalningsvillkorstyp"
"Payment Terms Duration","Betalningsvillkors varaktighet"
"Hyva Extension","Hyva-tillägg"
"Checkout Fields","Kassafält"
Advanced,Avancerat
Standard,Standard
"End of Month","Månadsskifte"
"%1 days","%1 dagar"
"Controls the position of this payment method relative to other payment methods at checkout. Lower numbers appear first. Default is empty (no specific order).","Styr positionen för denna betalningsmetod i förhållande till andra betalningsmetoder vid kassan. Lägre nummer visas först. Standard är tom (ingen specifik ordning)."
"Payment Terms","Betalningsvillkor"
"Select the payment term(s) you want to offer. If a custom duration is set below, this selection is optional.","Välj betalningsvillkor du vill erbjuda. Om en anpassad varaktighet anges nedan är detta val valfritt."
"Custom Payment Term (days)","Anpassat betalningsvillkor (dagar)"
"Optional. Enter a custom number of days to offer alongside the selected terms above.","Valfritt. Ange ett anpassat antal dagar att erbjuda tillsammans med de valda villkoren ovan."
"Default Payment Term","Standard betalningsvillkor"
"Select the payment term that will be automatically selected for your customer.","Välj det betalningsvillkor som automatiskt väljs för din kund."
"Surcharge Payment Method","Kostnadsfördelning betalningsmetod"
"Select a method to surcharge your customer.","Välj en metod för att debitera din kund."
No,Nej
Percentage,Procent
"Fixed fee","Fast belopp"
"Fixed fee and percentage","Fast belopp och procent"
"Only surcharge term extensions","Endast tillägg för förlängda villkor"
"When enabled, surcharge applies only to the additional cost of terms longer than the default. Buyers selecting the default term pay no surcharge.","När aktiverat gäller tillägget endast för merkostnaden för villkor längre än standard. Köpare som väljer standardvillkoret betalar inget tillägg."
"Surcharge Line Description","Beskrivning av tilläggsavgift"
"Description shown to the buyer for the surcharge line item.","Beskrivning som visas för köparen för tilläggsavgiften."
"Payment terms fee","Avgift för betalningsvillkor"
"Surcharge Tax Rate (%)","Momssats för tillägg (%)"
"Leave empty to use your store's default tax rate (%1%%). Enter 0 for tax-exempt.","Lämna tomt för att använda butikens standard momssats (%1%%). Ange 0 för momsbefrielse."
"Warning: No tax rules are configured for your store. Configure tax rules in Stores → Tax Rules to ensure correct surcharge tax calculation. Enter a rate manually, or enter 0 for tax-exempt.","Varning: Inga momsregler har konfigurerats för din butik. Konfigurera momsregler under Butiker → Momsregler för att säkerställa korrekt beräkning av tilläggsmoms. Ange en momssats manuellt, eller ange 0 för momsbefrielse."
"14 days - Payment Surcharge percentage","14 dagar - Kostnadsfördelning procent"
"14 days - Payment Surcharge limit","14 dagar - Kostnadsfördelning gräns"
"14 days - Payment Surcharge fixed amount","14 dagar - Kostnadsfördelning fast belopp"
"30 days - Payment Surcharge percentage","30 dagar - Kostnadsfördelning procent"
"30 days - Payment Surcharge limit","30 dagar - Kostnadsfördelning gräns"
"30 days - Payment Surcharge fixed amount","30 dagar - Kostnadsfördelning fast belopp"
"60 days - Payment Surcharge percentage","60 dagar - Kostnadsfördelning procent"
"60 days - Payment Surcharge limit","60 dagar - Kostnadsfördelning gräns"
"60 days - Payment Surcharge fixed amount","60 dagar - Kostnadsfördelning fast belopp"
"90 days - Payment Surcharge percentage","90 dagar - Kostnadsfördelning procent"
"90 days - Payment Surcharge limit","90 dagar - Kostnadsfördelning gräns"
"90 days - Payment Surcharge fixed amount","90 dagar - Kostnadsfördelning fast belopp"
"Enter the percentage of the fee Two charges you want to charge your customer. E.g.: 25, your customer pays 25% of the fee and you pay the remaining 75%.","Ange procentandelen av avgiften som Two debiterar som du vill debitera din kund. T.ex.: 25, din kund betalar 25 % av avgiften och du betalar resterande 75 %."
"Enter the maximum amount that you want to charge your customer.","Ange det maximala belopp du vill debitera din kund."
"Enter the amount you want to charge your customer.","Ange beloppet du vill debitera din kund."
"Payment Term","Betalningsvillkor"
days,dagar
