%1 Details,%1 Detaljer
%1 [Trace ID: %2],%1 [Spår-ID: %2]
%1 customer address updated.,%1 kundadress uppdaterad.
%1 days,%1 dagar
%1 days - %2: value cannot be negative.,%1 dagar - %2: värdet får inte vara negativt.
%1 days - fixed amount: maximum is %2.,%1 dagar - fast belopp: maximum är %2.
%1 days - percentage: maximum is %2.,%1 dagar - procent: maximum är %2.
%1 order has been marked as cancelled,%1 beställning har markerats som avbruten
%1 order invoice has not been issued yet.,%1 orderfaktura har inte utfärdats ännu.
%1 order marked as completed.,%1 order markerad som slutförd.
%1 order marked as partially completed.,%1 order markerad som delvis slutförd.
%1 payment has been verified by the customer.,%1 betalning har verifierats av kunden.
%1 requires whole order to be shipped before it can be fulfilled.,%1 kräver att hela beställningen skickas innan den kan uppfyllas.
* Required Fields,* Obligatoriska fält
Invoice purchase with %1 is not available for this order.,Fakturaköp med %1 är inte tillgängligt för den här beställningen.
KVK number,KVK-nummer
KVK number is not valid.,KVK-nummer är inte giltigt.
Last 100 debug log lines,Senaste 100 felsökningsloggraderna
Last 100 error log records,Senaste 100 felloggposter
Last Name,Efternamn
Last Name is not valid.,Efternamn är inte giltigt.
Leave empty to use your store's default tax rate (%1%). Enter 0 for tax-exempt.,Lämna tomt för att använda butikens standardmomssats (%1%). Ange 0 för momsbefrielse.
Limit,Gräns
Log is empty,Loggen är tom
No,Nej
No payment terms selected. Select payment terms above to configure surcharges.,Inga betalningsvillkor valda. Välj betalningsvillkor ovan för att konfigurera tillägg.
No surcharge applied,Ingen tilläggsavgift appliceras
OK,OK
On Completion,Vid färdigställande
On Invoice,Vid fakturering
On Shipment,Vid leverans
Optional. Enter a custom number of days to offer alongside the selected terms above.,Valfritt. Ange ett specifikt antal dagar att erbjuda tillsammans med de valda villkoren ovan.
Order ID,Order-ID
Order Note,Ordernot
Order edit request was accepted by %1,Begäran om redigering av order accepterades av %1
PO Number,PO-nummer
Payment,Betalning
Payment Method,Betalningsmetod
Payment Surcharge Configuration,Konfiguration av tilläggsavgift
Payment Term,Betalningsvillkor
Payment Terms,Betalningsvillkor
Payment Terms %1 days,Betalningsvillkors %1 dagar
Payment Terms Duration,Betalningsvillkors varaktighet
Payment Terms Type,Betalningsvillkorstyp
Payment terms fee,Avgift för betalningsvillkor
Perform a check during checkout to inform the buyer whether an order is likely to be accepted before being placed (recommended).,Gör en kontroll under kassan för att informera köparen om en order sannolikt kommer att accepteras innan den läggs (rekommenderas).
Per-Term Surcharge Configuration,Konfiguration för tilläggsavgift per betalningsvillkor
Percentage,Procent
Phone Number,Telefonnummer
Phone Number is not valid.,Telefonnummer är inte giltigt.
Place Order,Beställ
Please ensure that your invoice email address list only contains valid email addresses separated by commas.,Se till att din e-postadresslista för faktura endast innehåller giltiga e-postadresser separerade med kommatecken.
Please enter 3 or more characters,Ange 3 eller fler tecken
Please try again later.,Försök igen senare.
Production,Produktion
Project,Projekt
Registered Organisation,Registrerad organisation
Sandbox,Testmiljö
Search,Sök
Search for company,Sök efter företag
Select a method to surcharge your customer.,Välj en metod för att debitera din kund.
Select the countries where this payment method should be available.,Välj de länder där denna betalningsmetod ska vara tillgänglig.
Select the payment term that will be automatically selected for your customer.,Välj det betalningsvillkor som automatiskt anges för din kund.
"Select the payment term(s) you want to offer. If a custom duration is set below, this selection is optional.",Ange det betalningsvillkor du vill erbjuda. Om ett annan villkor anges nedan är detta ej nödvändigt.
Selected payment terms,Önskat betalningsvillkor
Sign up now,Registrera nu
Sole Trader,Enskild näringsidkare
Something went wrong with your request to %1. %2,Något gick fel med din begäran att %1. %2
Sort Order,Sorteringsordning
Specific Countries,Specifika länder
Standard,Standard
Street Address,Gatuadress
Street Address is not valid.,Gatuadress är inte giltig.
Successfully refunded order with %1 for order ID: %2. Refund reference: %3,Lyckad återbetalning med %1 för order-ID: %2. Återbetalningsreferens: %3.
Surcharge Calculation Basis,Beräkningsgrund för tilläggsavgift
Surcharge Line Description,Beskrivning av tilläggsavgift
Surcharge Method,Tilläggsavgift
Surcharge Tax Rate (%),Momssats för tillägg (%)
Term,Betalningsvillkor
"The %1 payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our <a href=""%2"" target=""_blank"">step by step guide</a>.","Betalningspluginet %1 för Magento förenklar B2B-shopping, vilket gör det enkelt och säkert för handlare att erbjuda fakturor som betalningsmetod. <br> Betalningsmetoden finns bredvid andra betalningsmetoder i din befintliga kassa, och erbjuder en mängd olika konfigurationsalternativ för att passa ditt företags behov. <br> Om du vill veta mer om hur du konfigurerar plugin-programmet, kolla in vår <a href=""%2"" target=""_blank""> steg-för-steg-guide </a> ."
The buyer and the seller are the same company.,Köparen och säljaren är samma företag.
The capture action is not available.,Registreringsåtgärden är inte tillgänglig.
Title,Titel
To set up automatic tax resolution:,För att ställa in automatisk momsberäkning:
Total fee for selected term,Total avgift för valt villkor
Unable to confirm %1 order with %2 state.,Kan inte bekräfta %1 beställning med %2 status.
Unable to find the requested %1 order,Det gick inte att hitta den begärda beställningen %1
Use Default,Använd standard
Version,Version
"Warning: No tax rules are configured for your store. Enter a rate manually, or enter 0 for tax-exempt.","Varning: Inga momsregler har konfigurerats för din butik. Ange en momssats manuellt, eller ange 0 för momsbefrielse."
Yes,Ja
You must accept %1 to place order.,Du måste acceptera %1 för att göra en beställning.
Your invoice purchase with %1 could not be processed. The cart will be restored.,Ditt fakturaköp med %1 kunde inte behandlas. Varukorgen kommer att återställas.
Your invoice purchase with %1 failed verification. The cart will be restored.,Ditt fakturaköp med %1 misslyckades med verifiering. Varukorgen kommer att återställas.
Your invoice purchase with %1 has been cancelled. The cart will be restored.,Ditt fakturaköp med %1 har annullerats. Varukorgen kommer att återställas.
Your invoice purchase with %1 has been declined.,Ditt fakturaköp med %1 har nekats.
Your invoice purchase with %1 is likely to be accepted subject to additional checks.,Ditt fakturaköp med %1 kommer sannolikt att accepteras med reservation för ytterligare kontroller.
Your request to %1 failed. Reason: %2,Din begäran till %1 misslyckades. Orsak: %2
Your sole trader account could not be verified.,Ditt konto för enskild näringsidkare kunde inte verifieras.
Zakelijk op Rekening - %1 days,Zakelijk op Rekening - %1 dagar
Zip/Postal Code,Postnummer
Zip/Postal Code is not valid.,Postnummer är inte giltigt.
days,dagar
default,standard
payment terms,betalningsvillkor
